,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,network,Max_or_Min
0,15.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.0004285565228201449,0.0004285564937163144,2.251614809036255,0.012337138876318932,24392.0,343.5181293487549,15_C_8,15_C_0_1_0_2_0_300_10,82.0,24.0,5.0,Network 1,Min
5,15.0,C,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.0008690846734680235,0.0008690845570527017,21080.9375,0.023040883243083957,24392.0,159.11155152320862,15_C_64,15_C_0_1_0_3_0_300_10,18.0,27.0,8.0,Network 1,Max
4,15.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.0001424146321369335,0.00014241466124076396,3523.6396484375,0.0065060993656516075,24392.0,263.579262971878,15_F_32,15_F_0_1_0_3_0_300_10,51.0,6.0,8.0,Network 2,Min
2,15.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.00042291570571251214,0.00042291573481634265,2.26237154006958,0.012232250533998013,24392.0,446.4678227901459,15_F_64,15_F_0_1_0_2_0_300_10,52.0,4.0,5.0,Network 2,Max
