,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
1,1.0,20.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.0365411639213562,0.0365411601960659,0.9775212407112122,0.0,0.0,0.0,16090.0,70.0,300.0,8227.0,36.28264999389648,20_C_32,20_C_0_1_0_1_0_30_10,28.0,5.0,1.0,0.0,Network 1,Min
2,2.0,20.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.047210656106472015,0.047210656106472015,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,15.177346467971802,20_C_64,20_C_0_1_0_1_0_30_10,11.0,5.0,1.0,0.0,Network 1,Min
3,3.0,20.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.044881898909807205,0.044881895184516914,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,27.6164231300354,20_C_8,20_C_0_1_0_2_0_30_10,21.0,5.0,1.0,0.0,Network 1,Min
4,4.0,20.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.04050692543387413,0.040506914258003235,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,17.832922458648678,20_C_32,20_C_0_1_0_2_0_30_10,13.0,5.0,1.0,0.0,Network 1,Min
5,5.0,20.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.04142307862639427,0.04142307117581368,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,29.86298131942749,20_C_64,20_C_0_1_0_2_0_30_10,22.0,5.0,1.0,0.0,Network 1,Min
7,7.0,20.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.04020307958126068,0.04020307958126068,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,14.31322956085205,20_C_32,20_C_0_1_0_3_0_30_10,11.0,8.0,1.0,0.0,Network 1,Min
8,8.0,20.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.03942464292049408,0.03942465037107468,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,17.313709020614624,20_C_64,20_C_0_1_0_3_0_30_10,13.0,8.0,1.0,0.0,Network 1,Min
6,6.0,20.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.022935528308153152,0.022935524582862854,0.986148238182068,0.8103448152542114,0.31333333253860474,94.0,16138.0,22.0,206.0,8227.0,31.82301688194275,20_C_8,20_C_0_1_0_3_0_30_10,25.0,8.0,1.0,0.4519230741787063,Network 1,Max
0,0.0,20.0,F,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.03394074738025665,0.033940766006708145,0.9667071700096128,0.0,0.0,0.0,15912.0,248.0,300.0,8227.0,56.751626253128045,20_F_8,20_F_0_1_0_1_0_30_10,44.0,4.0,1.0,0.0,Network 2,Min
1,1.0,20.0,F,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.046493951231241226,0.04649394005537033,0.9653705954551696,0.0,0.0,0.0,15890.0,270.0,300.0,8227.0,34.362438917160034,20_F_32,20_F_0_1_0_1_0_30_10,27.0,4.0,1.0,0.0,Network 2,Min
2,2.0,20.0,F,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.04188324883580208,0.04188324883580208,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,16.87368130683899,20_F_64,20_F_0_1_0_1_0_30_10,13.0,4.0,1.0,0.0,Network 2,Min
3,3.0,20.0,F,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.04475071281194687,0.04475070536136627,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,23.14716410636902,20_F_8,20_F_0_1_0_2_0_30_10,18.0,4.0,1.0,0.0,Network 2,Min
4,4.0,20.0,F,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.03986293449997902,0.039862941950559616,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,14.291896104812622,20_F_32,20_F_0_1_0_2_0_30_10,11.0,4.0,1.0,0.0,Network 2,Min
5,5.0,20.0,F,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.04096129164099693,0.04096130654215813,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,14.752706289291382,20_F_64,20_F_0_1_0_2_0_30_10,11.0,4.0,1.0,0.0,Network 2,Min
7,7.0,20.0,F,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.037583064287900925,0.037583064287900925,0.9811664819717408,0.0,0.0,0.0,16150.0,10.0,300.0,8227.0,17.12591242790222,20_F_32,20_F_0_1_0_3_0_30_10,13.0,6.0,1.0,0.0,Network 2,Min
8,8.0,20.0,F,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.03404876589775085,0.03404876962304115,0.9817739725112916,0.0,0.0,0.0,16160.0,0.0,300.0,8227.0,23.59221339225769,20_F_64,20_F_0_1_0_3_0_30_10,18.0,6.0,1.0,0.0,Network 2,Min
6,6.0,20.0,F,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.03213419020175934,0.032134182751178735,0.9612393975257874,0.1992882490158081,0.3733333349227905,112.0,15710.0,450.0,188.0,8227.0,35.7559802532196,20_F_8,20_F_0_1_0_3_0_30_10,28.0,6.0,1.0,0.25986078311701605,Network 2,Max
