,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,C,300,10,12_C_32,0.19601337693675128,0.3462640695762345,Min
2,C,300,10,12_C_64,0.4892258355521706,0.3462640695762345,Max
0,F,300,10,12_F_8,0.14970976692714374,0.35614769842070565,Min
1,F,300,10,12_F_32,0.6058034447044169,0.35614769842070565,Max
0,A,300,10,12_A_8,0.2778791269448063,0.5328503091580378,Min
2,A,300,10,12_A_64,0.7665276059691296,0.5328503091580378,Max
0,G,300,10,12_G_8,0.2340447685894013,0.5890333268425535,Min
1,G,300,10,12_G_32,0.7665276059691296,0.5890333268425535,Max
2,G,300,10,12_G_64,0.7665276059691296,0.5890333268425535,Max
1,T,300,10,12_T_32,0.037758597247300435,0.28565052856568135,Min
2,T,300,10,12_T_64,0.7665276059691296,0.28565052856568135,Max
1,AD,300,10,12_AD_32,0.07703248732891244,0.31987177407663153,Min
2,AD,300,10,12_AD_64,0.6417198126492347,0.31987177407663153,Max
