,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,network,Max_or_Min
1,1,A,0,0,0,0,0,30,10,0.00042005709838099995,0.000420057185693,58659.10546875,0.013471553102136,24734,1360.28017497063,1_A_32,1_A_0_0_0_0_0_30_10,52,37,18,Network 1,Min
0,1,A,0,0,0,0,0,30,10,0.0007539582438769999,0.0007539584185,57845.03125,0.019141785800457,24734,986.0021584033971,1_A_8,1_A_0_0_0_0_0_30_10,78,37,18,Network 1,Max
2,1,G,0,0,0,0,0,30,10,0.0003339903778396547,0.0003339904942549765,57097.34765625,0.010335219092667105,24734,3056.189007997513,1_G_64,1_G_0_0_0_0_0_30_10,59,14,18,Network 2,Min
0,1,G,0,0,0,0,0,30,10,0.000604987028054893,0.0006049869116395713,59688.29296875,0.015027412213385103,24734,557.9460461139679,1_G_8,1_G_0_0_0_0_0_30_10,42,14,18,Network 2,Max
2,1,T,0,0,0,0,0,30,10,0.0003474951954558492,0.0003474951663520187,45515.69140625,0.010819963179528713,24734,2821.786640405655,1_T_64,1_T_0_0_0_0_0_30_10,59,14,18,Network 3,Min
0,1,T,0,0,0,0,0,30,10,0.0006325787398964168,0.0006325786234810947,35165.33984375,0.01602752506732941,24734,840.7882716655731,1_T_8,1_T_0_0_0_0_0_30_10,64,14,18,Network 3,Max
2,1,AD,0,0,0,0,0,30,10,0.000428664410719648,0.00042866446892730886,42852.8046875,0.012469148263335228,24734,241.75681853294373,1_AD_64,1_AD_0_0_0_0_0_30_10,77,13,18,Network 4,Min
0,1,AD,0,0,0,0,0,30,10,0.0006254412000998856,0.0006254410836845636,48178.1328125,0.015860076993703842,24734,171.89318752288818,1_AD_8,1_AD_0_0_0_0_0_30_10,58,13,18,Network 4,Max
