,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,3,AD,0,0,0,0,0,30,10,0.5516747236251831,0.5516749620437622,0.2051546424627304,0.27015891671180725,0.16430199146270752,5049.0,5100.0,13640.0,25681.0,24734,50.564318418502815,3_AD_8,3_AD_0_0_0_0_0_30_10,14,13,1,0.20433437021370854
1,3,AD,0,0,0,0,0,30,10,0.6624515652656555,0.6624518036842346,0.19708915054798126,0.2487423121929169,0.14480963349342346,4450.0,5300.0,13440.0,26280.0,24734,64.81713914871216,3_AD_32,3_AD_0_0_0_0_0_30_10,17,13,1,0.18305224231655087
2,3,AD,0,0,0,0,0,30,10,0.6237971186637878,0.6237971782684326,0.16642409563064575,0.1596371829509735,0.08018223196268083,2464.0,5769.0,12971.0,28266.0,24734,71.97814011573793,3_AD_64,3_AD_0_0_0_0_0_30_10,19,13,1,0.10674753449675847
