,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,3,G,0,0,0,0,0,30,10,0.3335763514041901,0.3335765302181244,0.3002829849720001,0.4217333495616913,0.3406117856502533,10467.0,4388.0,14352.0,20263.0,24734,40.49150323867798,3_G_8,3_G_0_0_0_0_0_30_10,11,14,1,0.3768564725543472
1,3,G,0,0,0,0,0,30,10,0.40475180745124817,0.4047517776489258,0.33555689454078674,0.4176162481307984,0.17650504410266876,5424.0,11176.0,7564.0,25306.0,24734,43.89695358276367,3_G_32,3_G_0_0_0_0_0_30_10,12,14,1,0.24813577718184812
2,3,G,0,0,0,0,0,30,10,0.3632974028587341,0.3632974624633789,0.3971093595027924,0.5227490067481995,0.3383664190769196,10398.0,9247.0,9493.0,20332.0,24734,44.646318674087524,3_G_64,3_G_0_0_0_0_0_30_10,12,14,1,0.4108176539049176
