,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
2,2.0,8.0,G,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.022869585081935002,0.02286959066987,0.9824135899543759,0.0,0.0,0.0,48600.0,0.0,870.0,24734.0,47.393627166748104,8_G_64,8_G_0_0_0_0_0_30_10,12.0,14.0,1.0,0.0,Network 2,Min
1,1.0,8.0,G,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.006370893679559,0.006370892282575,0.9901758432388309,0.6415929198265079,1.0,870.0,48114.0,486.0,0.0,24734.0,126.223958730698,8_G_32,8_G_0_0_0_0_0_30_10,33.0,14.0,1.0,0.7816711586381779,Network 2,Max
1,1.0,8.0,T,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.016970321536064148,0.016970321536064148,0.994542121887207,0.8073770403862,0.90574711561203,788.0,48412.0,188.0,82.0,24734.0,72.70508718490599,8_T_32,8_T_0_0_0_0_0_30_10,19.0,10.0,1.0,0.8537378017591081,Network 3,Min
2,2.0,8.0,T,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.008042464964091778,0.008042465895414352,0.999191403388977,0.9560439586639404,1.0,870.0,48560.0,40.0,0.0,24734.0,57.905879735946655,8_T_64,8_T_0_0_0_0_0_30_10,15.0,10.0,1.0,0.9775280912571702,Network 3,Max
