,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
0,C,30,10,4_C_8,0.28516823364762195,0.29222945091537955,Min
1,C,30,10,4_C_32,0.2969640134677783,0.29222945091537955,Max
0,F,30,10,4_F_8,0.312743939893274,0.3870335714569917,Min
1,F,30,10,4_F_32,0.508036478435134,0.3870335714569917,Max
2,A,30,10,4_A_64,0.35180018579640043,0.39698058860748636,Min
0,A,30,10,4_A_8,0.47986650025600003,0.39698058860748636,Max
1,G,30,10,4_G_32,0.3540869264181267,0.3937940877016682,Min
2,G,30,10,4_G_64,0.4465083074283454,0.3937940877016682,Max
0,T,30,10,4_T_8,0.4386406482993348,0.46797843845775483,Min
2,T,30,10,4_T_64,0.5243708541889713,0.46797843845775483,Max
0,AD,30,10,4_AD_8,0.37109075767796,0.40941724110500405,Min
1,AD,30,10,4_AD_32,0.44170971054360986,0.40941724110500405,Max
