,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,C,30,10,5_C_32,0.24694466747888424,0.27945722413529933,Min
2,C,30,10,5_C_64,0.2966054243490201,0.27945722413529933,Max
2,F,30,10,5_F_64,0.2623675434368052,0.3019541724305368,Min
1,F,30,10,5_F_32,0.3312106612206612,0.3019541724305368,Max
0,A,30,10,5_A_8,0.4198254912157817,0.45783438367192125,Min
1,A,30,10,5_A_32,0.5263916565339596,0.45783438367192125,Max
2,G,30,10,5_G_64,0.41998664224192217,0.4601076273721605,Min
0,G,30,10,5_G_8,0.5159059345681918,0.4601076273721605,Max
0,T,30,10,5_T_8,0.4675549233862159,0.48071790056195374,Min
2,T,30,10,5_T_64,0.4895261342372144,0.48071790056195374,Max
0,AD,30,10,5_AD_8,0.35713700657033365,0.3770252783272259,Min
2,AD,30,10,5_AD_64,0.3986425803035039,0.3770252783272259,Max
