,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,27,A,1,4,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
1,27,C,1,2,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
2,27,F,2,2,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
3,27,G,2,4,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
4,27,T,3,4,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
5,27,AD,4,4,0.8961892406120547,0.8961892406120547,300,10,"['8', '32', '64']"
