,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,12,T,0,0,0,0,0,300,10,0.2592458426952362,0.2592458426952362,0.39536789059638977,1.0,0.02704485505819321,820.0,18470.0,0.0,29500.0,24392,51.138511180877686,12_T_8,12_T_0_0_0_0_0_300_10,11,14,1,0.052665382480613906
1,12,T,0,0,0,0,0,300,10,0.2540806829929352,0.25408074259758,0.3784382045269013,0.4974916279315949,0.0196240097284317,595.0,17869.0,601.0,29725.0,24392,65.86031699180603,12_T_32,12_T_0_0_0_0_0_300_10,12,14,1,0.037758597247300435
2,12,T,0,0,0,0,0,300,10,0.2489527761936188,0.24895288050174716,0.6214388012886047,0.6214388012886047,1.0,30320.0,0.0,18470.0,0.0,24392,112.6007125377655,12_T_64,12_T_0_0_0_0_0_300_10,13,14,1,0.7665276059691296
