,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,4,T,0,0,0,0,0,30,10,0.18884554505348208,0.1888454556465149,0.6502320766448975,0.4430258572101593,0.4343414008617401,19432.0,73031.0,24430.0,25307.0,23697,54.06750965118408,4_T_8,4_T_0_0_0_0_0_30_10,15,14,3,0.43864064829933475
1,4,T,0,0,0,0,0,30,10,0.21150687336921686,0.2115068882703781,0.6649789214134216,0.4641613066196442,0.41990208625793457,18786.0,75774.0,21687.0,25953.0,23697,46.9140248298645,4_T_32,4_T_0_0_0_0_0_30_10,13,14,3,0.44092381288495835
2,4,T,0,0,0,0,0,30,10,0.1778676062822342,0.177867591381073,0.6824824213981628,0.4958955943584442,0.556315541267395,24889.0,72160.0,25301.0,19850.0,23697,44.56452989578247,4_T_64,4_T_0_0_0_0_0_30_10,12,14,3,0.5243708541889713
