,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,4,G,0,0,0,0,0,30,10,0.16303859651088715,0.16303859651088715,0.6839662194252014,0.4963896870613098,0.3088580369949341,13818.0,83442.0,14019.0,30921.0,23697,54.09250473976135,4_G_8,4_G_0_0_0_0_0_30_10,15,14,3,0.38078702925853236
1,4,G,0,0,0,0,0,30,10,0.1929294317960739,0.19292941689491272,0.6404008269309998,0.4071104824542999,0.3132837116718292,14016.0,77049.0,20412.0,30723.0,23697,39.28464770317077,4_G_32,4_G_0_0_0_0_0_30_10,11,14,3,0.3540869264181267
2,4,G,0,0,0,0,0,30,10,0.21416287124156952,0.21416281163692474,0.6844162940979004,0.4981149733066559,0.4045910835266113,18101.0,79223.0,18238.0,26638.0,23697,51.04856634140015,4_G_64,4_G_0_0_0_0_0_30_10,14,14,3,0.4465083074283454
