,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,21,A,0,0,0,0,0,30,10,0.4656611382961273,0.4656611680984497,0.4470838308334351,0.585012674331665,0.3827148377895355,3919.0,3440.0,2780.0,6321.0,8227,33.31732988357544,21_A_8,21_A_0_0_0_0_0_30_10,25,18,1,0.4627191600059101
1,21,A,0,0,0,0,0,30,10,0.3901551961898804,0.390155166387558,0.12102065980434418,0.13273106515407562,0.07460937649011612,764.0,1228.0,4992.0,9476.0,8227,14.699850797653198,21_A_32,21_A_0_0_0_0_0_30_10,11,18,1,0.09552388268766837
2,21,A,0,0,0,0,0,30,10,0.25417205691337585,0.25417211651802063,0.4023086130619049,0.6221142411231995,0.10000000149011612,1024.0,5598.0,622.0,9216.0,8227,48.08713555335999,21_A_64,21_A_0_0_0_0_0_30_10,37,18,1,0.17230355356016971
