,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,2,C,0,1,0,1,0,30,10,0.06186218559741974,0.06186216324567795,0.9464321732521056,0.0,0.0,0.0,46820.0,1780.0,870.0,24734,50.944552659988396,2_C_8,2_C_0_1_0_1_0_30_10,14,5,1,0.0
1,2,C,0,1,0,1,0,30,10,0.043930836021900184,0.043930847197771065,0.9665251374244691,0.15343914926052096,0.20000000298023224,174.0,47640.0,960.0,696.0,24734,56.82283425331116,2_C_32,2_C_0_1_0_1_0_30_10,15,5,1,0.17365269305809547
2,2,C,0,1,0,1,0,30,10,0.03940651938319206,0.039406511932611465,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,40.77588438987732,2_C_64,2_C_0_1_0_1_0_30_10,11,5,1,0.0
3,2,C,0,1,0,2,0,30,10,0.040163256227970116,0.04016326367855072,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,92.15046668052672,2_C_8,2_C_0_1_0_2_0_30_10,25,5,1,0.0
4,2,C,0,1,0,2,0,30,10,0.04060949385166168,0.04060947522521019,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,44.8949294090271,2_C_32,2_C_0_1_0_2_0_30_10,12,5,1,0.0
5,2,C,0,1,0,2,0,30,10,0.04145170375704765,0.04145167395472527,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,93.59108018875122,2_C_64,2_C_0_1_0_2_0_30_10,25,5,1,0.0
6,2,C,0,1,0,3,0,30,10,0.033034540712833405,0.033034533262252815,0.9344855546951294,0.11270826309919355,0.3965517282485962,345.0,45884.0,2716.0,525.0,24734,91.50751972198486,2_C_8,2_C_0_1_0_3_0_30_10,25,8,1,0.17552785327429848
7,2,C,0,1,0,3,0,30,10,0.017215754836797714,0.017215758562088013,0.9962199330329896,0.8230841755867004,1.0,870.0,48413.0,187.0,0.0,24734,78.23628163337708,2_C_32,2_C_0_1_0_3_0_30_10,21,8,1,0.9029579507175718
8,2,C,0,1,0,3,0,30,10,0.010476639494299887,0.010476642288267612,0.9961997270584106,0.925187051296234,0.8528735637664795,742.0,48540.0,60.0,128.0,24734,101.37674951553343,2_C_64,2_C_0_1_0_3_0_30_10,27,8,1,0.8875598175957445
