,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,2,F,0,1,0,1,0,30,10,0.037545494735240936,0.037545494735240936,0.9761471748352052,0.0,0.0,0.0,48290.0,310.0,870.0,24734,47.81351637840271,2_F_8,2_F_0_1_0_1_0_30_10,13,4,1,
1,2,F,0,1,0,1,0,30,10,0.06528478860855103,0.06528476625680922,0.9453001618385316,0.0,0.0,0.0,46764.0,1836.0,870.0,24734,46.64658617973328,2_F_32,2_F_0_1_0_1_0_30_10,12,4,1,
2,2,F,0,1,0,1,0,30,10,0.041388198733329766,0.04138822108507157,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,56.75110602378845,2_F_64,2_F_0_1_0_1_0_30_10,15,4,1,
3,2,F,0,1,0,2,0,30,10,0.042559240013360984,0.042559240013360984,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,66.03752207756042,2_F_8,2_F_0_1_0_2_0_30_10,18,4,1,
4,2,F,0,1,0,2,0,30,10,0.044902760535478585,0.0449027456343174,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,46.60694646835327,2_F_32,2_F_0_1_0_2_0_30_10,12,4,1,
5,2,F,0,1,0,2,0,30,10,0.03965767100453377,0.03965766727924347,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,44.89962220191956,2_F_64,2_F_0_1_0_2_0_30_10,12,4,1,
6,2,F,0,1,0,3,0,30,10,0.008892850950360298,0.008892849087715149,0.9980189800262452,0.9426605701446532,0.9448275566101074,822.0,48550.0,50.0,48.0,24734,53.212163209915154,2_F_8,2_F_0_1_0_3_0_30_10,14,6,1,0.943742819440988
7,2,F,0,1,0,3,0,30,10,0.006900856737047435,0.006900855340063572,0.9985849857330322,0.9444444179534912,0.977011501789093,850.0,48550.0,50.0,20.0,24734,49.41447067260742,2_F_32,2_F_0_1_0_3_0_30_10,13,6,1,0.9604519673443084
8,2,F,0,1,0,3,0,30,10,0.012666488066315651,0.01266649179160595,0.9984232783317566,0.9248927235603333,0.9908046126365662,862.0,48530.0,70.0,8.0,24734,91.55372190475464,2_F_64,2_F_0_1_0_3_0_30_10,24,6,1,0.9567147788771434
