,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,2,T,0,0,0,0,0,30,10,0.00801717396825552,0.00801717396825552,0.9937942028045654,0.7399829626083374,0.9977011680603028,868.0,48295.0,305.0,2.0,24734,61.946160316467285,2_T_8,2_T_0_0_0_0_0_30_10,17,14,1,0.8497308033249744
1,2,T,0,0,0,0,0,30,10,0.012787815183401108,0.012787819840013979,0.9838083982467652,0.5306666493415833,0.6862068772315979,597.0,48072.0,528.0,273.0,24734,85.67734098434448,2_T_32,2_T_0_0_0_0_0_30_10,23,14,1,0.5984962222345527
2,2,T,0,0,0,0,0,30,10,0.008003551512956621,0.008003550581634045,0.9950273036956788,0.8723150491714478,0.840229868888855,731.0,48493.0,107.0,139.0,24734,145.8805840015411,2_T_64,2_T_0_0_0_0_0_30_10,39,14,1,0.855971895003214
