,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,C,300,10,16_C_64,0.0,0.3214985984257625,Min
1,C,300,10,16_C_32,0.4823529426284316,0.3214985984257625,Max
1,F,300,10,16_F_32,0.0,0.20100741017012147,Min
2,F,300,10,16_F_64,0.3241106667616614,0.20100741017012147,Max
1,A,300,10,16_A_32,0.0,0.28958440962987114,Min
2,A,300,10,16_A_64,0.8118811909234613,0.28958440962987114,Max
0,G,300,10,16_G_8,0.0,0.25309559060136605,Min
2,G,300,10,16_G_64,0.0,0.25309559060136605,Min
1,G,300,10,16_G_32,0.7592867718040982,0.25309559060136605,Max
1,T,300,10,16_T_32,0.0,0.10328638628400892,Min
2,T,300,10,16_T_64,0.0,0.10328638628400892,Min
0,T,300,10,16_T_8,0.30985915885202675,0.10328638628400892,Max
1,AD,300,10,16_AD_32,0.0,0.6017728739227178,Min
2,AD,300,10,16_AD_64,0.9371428535227871,0.6017728739227178,Max
