,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,25,C,0,1,0,1,0,300,10,0.08054663985967636,0.08054664731025696,0.8962587118148804,0.10786516964435576,0.8000000119209291,192.0,13942.0,1588.0,48.0,7885,30.78431701660156,25_C_8,25_C_0_1_0_1_0_300_10,21,5,1,0.19009901195364293
1,25,C,0,1,0,1,0,300,10,0.05813026428222656,0.05813026800751686,0.9213696718215942,0.0,0.0,0.0,14530.0,1000.0,240.0,7885,20.68606686592102,25_C_32,25_C_0_1_0_1_0_300_10,11,5,1,0.0
2,25,C,0,1,0,1,0,300,10,0.037791907787323,0.037791918963193886,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,39.80529761314392,25_C_64,25_C_0_1_0_1_0_300_10,14,5,1,0.0
3,25,C,0,1,0,2,0,300,10,0.04326748475432396,0.04326748102903366,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,33.63526773452759,25_C_8,25_C_0_1_0_2_0_300_10,22,5,1,0.0
4,25,C,0,1,0,2,0,300,10,0.03995377942919731,0.03995377570390701,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,37.207697868347175,25_C_32,25_C_0_1_0_2_0_300_10,20,5,1,0.0
5,25,C,0,1,0,2,0,300,10,0.035950984805822365,0.035950977355241776,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,67.84901642799377,25_C_64,25_C_0_1_0_2_0_300_10,24,5,1,0.0
6,25,C,0,1,0,3,0,300,10,0.016277721151709557,0.01627771556377411,1.0,1.0,1.0,240.0,15530.0,0.0,0.0,7885,27.06089186668396,25_C_8,25_C_0_1_0_3_0_300_10,18,8,1,1.0
7,25,C,0,1,0,3,0,300,10,0.009232011623680592,0.00923200882971287,0.9873176813125609,0.5454545617103577,1.0,240.0,15330.0,200.0,0.0,7885,126.4922971725464,25_C_32,25_C_0_1_0_3_0_300_10,69,8,1,0.7058823665533097
8,25,C,0,1,0,3,0,300,10,0.03816741332411766,0.03816742449998856,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,34.09204864501953,25_C_64,25_C_0_1_0_3_0_300_10,12,8,1,0.0
