,letter,input_days,output_days,experiment_name,weighted_metric
0,A,30,10,22_A_8,0.8869282763980847
1,A,30,10,22_A_32,0.8869282763980847
2,A,30,10,22_A_64,0.8869282763980847
0,C,30,10,22_C_8,0.8869282763980847
1,C,30,10,22_C_32,0.8869282763980847
2,C,30,10,22_C_64,0.8869282763980847
