,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
0,0.0,22.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.16788335144519806,0.16788330674171448,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,30.04705214500427,22_C_8,22_C_0_1_0_1_0_30_10,25.0,5.0,1.0,0.8869282763980847,Network 1,Min
1,1.0,22.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.15380243957042694,0.15380239486694336,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,47.341665744781494,22_C_32,22_C_0_1_0_1_0_30_10,39.0,5.0,1.0,0.8869282763980847,Network 1,Min
2,2.0,22.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.16159653663635254,0.16159658133983612,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,62.025141954422,22_C_64,22_C_0_1_0_1_0_30_10,50.0,5.0,1.0,0.8869282763980847,Network 1,Min
3,3.0,22.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.16255846619606018,0.162558451294899,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,36.387198448181145,22_C_8,22_C_0_1_0_2_0_30_10,29.0,5.0,1.0,0.8869282763980847,Network 1,Min
4,4.0,22.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.16237443685531616,0.16237440705299375,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,30.365992784500122,22_C_32,22_C_0_1_0_2_0_30_10,25.0,5.0,1.0,0.8869282763980847,Network 1,Min
5,5.0,22.0,C,0.0,1.0,0.0,2.0,0.0,30.0,10.0,0.1625559777021408,0.162555992603302,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,21.612164974212646,22_C_64,22_C_0_1_0_2_0_30_10,17.0,5.0,1.0,0.8869282763980847,Network 1,Min
6,6.0,22.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.15379762649536133,0.15379761159420013,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,26.421023607254032,22_C_8,22_C_0_1_0_3_0_30_10,22.0,8.0,1.0,0.8869282763980847,Network 1,Min
7,7.0,22.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.16249240934848785,0.16249242424964905,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,14.054175615310669,22_C_32,22_C_0_1_0_3_0_30_10,11.0,8.0,1.0,0.8869282763980847,Network 1,Min
8,8.0,22.0,C,0.0,1.0,0.0,3.0,0.0,30.0,10.0,0.16245318949222565,0.16245320439338684,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,21.559917211532593,22_C_64,22_C_0_1_0_3_0_30_10,17.0,8.0,1.0,0.8869282763980847,Network 1,Min
0,0.0,22.0,C,0.0,1.0,0.0,1.0,0.0,30.0,10.0,0.16788335144519806,0.16788330674171448,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882.0,30.04705214500427,22_C_8,22_C_0_1_0_1_0_30_10,25.0,5.0,1.0,0.8869282763980847,Network 1,Max
