,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
0,0,22,A,0,0,0,0,0,30,10,0.1628960371017456,0.1628960818052292,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,18.35356068611145,22_A_8,22_A_0_0_0_0_0_30_10,15,18,1,0.8869282763980847,Network 1,Min
1,1,22,A,0,0,0,0,0,30,10,0.16221968829631805,0.16221964359283447,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,38.44854021072389,22_A_32,22_A_0_0_0_0_0_30_10,31,18,1,0.8869282763980847,Network 1,Min
2,2,22,A,0,0,0,0,0,30,10,0.1614857017993927,0.1614857167005539,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,28.44276428222656,22_A_64,22_A_0_0_0_0_0_30_10,23,18,1,0.8869282763980847,Network 1,Min
0,0,22,A,0,0,0,0,0,30,10,0.1628960371017456,0.1628960818052292,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,18.35356068611145,22_A_8,22_A_0_0_0_0_0_30_10,15,18,1,0.8869282763980847,Network 1,Max
1,1,22,A,0,0,0,0,0,30,10,0.16221968829631805,0.16221964359283447,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,38.44854021072389,22_A_32,22_A_0_0_0_0_0_30_10,31,18,1,0.8869282763980847,Network 1,Max
2,2,22,A,0,0,0,0,0,30,10,0.1614857017993927,0.1614857167005539,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,28.44276428222656,22_A_64,22_A_0_0_0_0_0_30_10,23,18,1,0.8869282763980847,Network 1,Max
0,0,22,G,0,0,0,0,0,30,10,0.16157092154026031,0.16157092154026031,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,20.714947223663327,22_G_8,22_G_0_0_0_0_0_30_10,17,14,1,0.8869282763980847,Network 2,Min
1,1,22,G,0,0,0,0,0,30,10,0.16309890151023865,0.16309891641139984,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,19.821885108947754,22_G_32,22_G_0_0_0_0_0_30_10,16,14,1,0.8869282763980847,Network 2,Min
2,2,22,G,0,0,0,0,0,30,10,0.16420872509479525,0.16420873999595642,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,30.94653844833374,22_G_64,22_G_0_0_0_0_0_30_10,25,14,1,0.8869282763980847,Network 2,Min
0,0,22,G,0,0,0,0,0,30,10,0.16157092154026031,0.16157092154026031,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,20.714947223663327,22_G_8,22_G_0_0_0_0_0_30_10,17,14,1,0.8869282763980847,Network 2,Max
1,1,22,G,0,0,0,0,0,30,10,0.16309890151023865,0.16309891641139984,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,19.821885108947754,22_G_32,22_G_0_0_0_0_0_30_10,16,14,1,0.8869282763980847,Network 2,Max
2,2,22,G,0,0,0,0,0,30,10,0.16420872509479525,0.16420873999595642,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,30.94653844833374,22_G_64,22_G_0_0_0_0_0_30_10,25,14,1,0.8869282763980847,Network 2,Max
0,0,22,T,0,0,0,0,0,30,10,0.1609162986278534,0.1609162986278534,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,29.171558380126953,22_T_8,22_T_0_0_0_0_0_30_10,24,14,1,0.8869282763980847,Network 3,Min
1,1,22,T,0,0,0,0,0,30,10,0.16326287388801575,0.16326287388801575,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,20.04337906837464,22_T_32,22_T_0_0_0_0_0_30_10,16,14,1,0.8869282763980847,Network 3,Min
2,2,22,T,0,0,0,0,0,30,10,0.16166415810585022,0.16166412830352786,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,38.789180040359504,22_T_64,22_T_0_0_0_0_0_30_10,31,14,1,0.8869282763980847,Network 3,Min
0,0,22,T,0,0,0,0,0,30,10,0.1609162986278534,0.1609162986278534,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,29.171558380126953,22_T_8,22_T_0_0_0_0_0_30_10,24,14,1,0.8869282763980847,Network 3,Max
1,1,22,T,0,0,0,0,0,30,10,0.16326287388801575,0.16326287388801575,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,20.04337906837464,22_T_32,22_T_0_0_0_0_0_30_10,16,14,1,0.8869282763980847,Network 3,Max
