,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
0,C,30,10,3_C_8,0.1994152053975312,0.2710792952208864,Min
1,C,30,10,3_C_32,0.3857011525891469,0.2710792952208864,Max
1,F,30,10,3_F_32,0.2999887896141051,0.39553707492541984,Min
0,F,30,10,3_F_8,0.448965971411314,0.39553707492541984,Max
1,A,30,10,3_A_32,0.0917656698287868,0.18218349925610955,Min
0,A,30,10,3_A_8,0.3437005271478865,0.18218349925610955,Max
1,G,30,10,3_G_32,0.2219230978416268,0.33505081637179374,Min
0,G,30,10,3_G_8,0.4374914394553813,0.33505081637179374,Max
0,T,30,10,3_T_8,0.16088687240759295,0.24641820275791662,Min
2,T,30,10,3_T_64,0.3220066718813805,0.24641820275791662,Max
2,AD,30,10,3_AD_64,0.10674753449675847,0.16471138234233929,Min
0,AD,30,10,3_AD_8,0.20433437021370854,0.16471138234233929,Max
