,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,C,30,10,3_C_64,0.21278437805651745,0.2850643352820566,Min
0,C,30,10,3_C_8,0.4191088615301243,0.2850643352820566,Max
2,F,30,10,3_F_64,0.3022825828465154,0.3618065427961736,Min
0,F,30,10,3_F_8,0.4208188249421417,0.3618065427961736,Max
2,A,30,10,3_A_64,0.04740503071970168,0.23837524836191817,Min
0,A,30,10,3_A_8,0.4043067069338654,0.23837524836191817,Max
1,G,30,10,3_G_32,0.2481357771818481,0.34526996788037095,Min
2,G,30,10,3_G_64,0.4108176539049176,0.34526996788037095,Max
0,T,30,10,3_T_8,0.18562539300881634,0.36691975627200124,Min
1,T,30,10,3_T_32,0.4663886640835733,0.36691975627200124,Max
0,AD,30,10,3_AD_8,0.22145176509538966,0.44977881962833427,Min
2,AD,30,10,3_AD_64,0.6889329305866227,0.44977881962833427,Max
