,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
0,C,30,10,6_C_8,0.1406919277687155,0.3596771210193455,Min
1,C,30,10,6_C_32,0.47802198109902,0.3596771210193455,Max
2,F,30,10,6_F_64,0.0,0.313648998388014,Min
0,F,30,10,6_F_8,0.488764045628585,0.313648998388014,Max
1,A,30,10,6_A_32,0.0,0.3959015264873376,Min
2,A,30,10,6_A_64,0.921610160503634,0.3959015264873376,Max
1,G,30,10,6_G_32,0.7990401926866727,0.8872926821604911,Min
2,G,30,10,6_G_64,0.9570957046472388,0.8872926821604911,Max
0,T,30,10,6_T_8,0.16345270599914805,0.49153710656235955,Min
2,T,30,10,6_T_64,0.9196617168702724,0.49153710656235955,Max
1,AD,30,10,6_AD_32,0.0,0.012987012859369334,Min
2,AD,30,10,6_AD_64,0.0,0.012987012859369334,Min
0,AD,30,10,6_AD_8,0.038961038578108,0.012987012859369334,Max
