,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
1,1,6,A,0,0,0,0,0,30,10,0.017138147726655003,0.017138153314591002,0.979987859725952,0.0,0.0,0.0,48480.0,120.0,870.0,24734,78.0086133480072,6_A_32,6_A_0_0_0_0_0_30_10,21,13,1,0.0,Network 1,Min
2,2,6,A,0,0,0,0,0,30,10,0.017842439934610998,0.017842439934610998,0.9970082640647892,0.85461688041687,1.0,870.0,48452.0,148.0,0.0,24734,93.91782760620121,6_A_64,6_A_0_0_0_0_0_30_10,25,13,1,0.9216101605036341,Network 1,Max
1,1,6,G,0,0,0,0,0,30,10,0.011666871607303621,0.011666870675981043,0.9932281970977784,0.8356336355209351,0.7655172348022461,666.0,48469.0,131.0,204.0,24734,89.60355377197266,6_G_32,6_G_0_0_0_0_0_30_10,24,10,1,0.7990401926866727,Network 2,Min
2,2,6,G,0,0,0,0,0,30,10,0.009251279756426813,0.009251278825104237,0.9984232783317566,0.9177215099334716,1.0,870.0,48522.0,78.0,0.0,24734,105.45044803619385,6_G_64,6_G_0_0_0_0_0_30_10,28,10,1,0.9570957046472388,Network 2,Max
0,0,6,T,0,0,0,0,0,30,10,0.014147445559501646,0.014147445559501646,0.9815847873687744,0.4063926935195923,0.10229884833097458,89.0,48470.0,130.0,781.0,24734,80.61218118667604,6_T_8,6_T_0_0_0_0_0_30_10,22,10,1,0.16345270599914805,Network 3,Min
2,2,6,T,0,0,0,0,0,30,10,0.02157566510140896,0.021575672551989555,0.9969274401664734,0.8512719869613647,1.0,870.0,48448.0,152.0,0.0,24734,99.36956357955931,6_T_64,6_T_0_0_0_0_0_30_10,26,10,1,0.9196617168702724,Network 3,Max
1,1,6,AD,0,0,0,0,0,30,10,0.0205880664289,0.020588068291544998,0.981261372566223,0.0,0.0,0.0,48543.0,57.0,870.0,24734,55.3476197719574,6_AD_32,6_AD_0_0_0_0_0_30_10,15,10,1,0.0,Network 4,Min
2,2,6,AD,0,0,0,0,0,30,10,0.024705093353987007,0.024705100804567,0.9820092916488651,0.0,0.0,0.0,48580.0,20.0,870.0,24734,57.8599083423615,6_AD_64,6_AD_0_0_0_0_0_30_10,15,10,1,0.0,Network 4,Min
0,0,6,AD,0,0,0,0,0,30,10,0.075575165450573,0.075575195252895,0.9042652249336239,0.023656973615289,0.11034482717514,96.0,44638.0,3962.0,774.0,24734,81.1328206062317,6_AD_8,6_AD_0_0_0_0_0_30_10,22,10,1,0.038961038578108,Network 4,Max
