,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,6,T,0,0,0,0,0,30,10,0.014147445559501646,0.014147445559501646,0.9815847873687744,0.4063926935195923,0.10229884833097458,89.0,48470.0,130.0,781.0,24734,80.61218118667604,6_T_8,6_T_0_0_0_0_0_30_10,22,10,1,0.16345270599914805
1,6,T,0,0,0,0,0,30,10,0.011894474737346172,0.011894473806023598,0.9861127734184264,0.8532818555831909,0.2540229856967926,221.0,48562.0,38.0,649.0,24734,55.40908813476562,6_T_32,6_T_0_0_0_0_0_30_10,15,10,1,0.3914968968176582
2,6,T,0,0,0,0,0,30,10,0.02157566510140896,0.021575672551989555,0.9969274401664734,0.8512719869613647,1.0,870.0,48448.0,152.0,0.0,24734,99.36956357955931,6_T_64,6_T_0_0_0_0_0_30_10,26,10,1,0.9196617168702725
