,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,6,A,0,0,0,0,0,30,10,0.01985888369381428,0.019858894869685173,0.9827167987823486,0.5254237055778503,0.1781609207391739,155.0,48460.0,140.0,715.0,24734,47.570382595062256,6_A_8,6_A_0_0_0_0_0_30_10,13,13,1,0.2660944189583791
1,6,A,0,0,0,0,0,30,10,0.017138147726655006,0.017138153314590454,0.979987859725952,0.0,0.0,0.0,48480.0,120.0,870.0,24734,78.0086133480072,6_A_32,6_A_0_0_0_0_0_30_10,21,13,1,
2,6,A,0,0,0,0,0,30,10,0.017842439934611317,0.017842439934611317,0.9970082640647888,0.8546168804168701,1.0,870.0,48452.0,148.0,0.0,24734,93.91782760620116,6_A_64,6_A_0_0_0_0_0_30_10,25,13,1,0.9216101605036338
