,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,6,C,0,1,0,2,0,30,10,0.04302948340773583,0.043029505759477615,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,55.1426010131836,6_C_8,6_C_0_1_0_2_0_30_10,15,5,1,
1,6,C,0,1,0,2,0,30,10,0.042168490588665015,0.042168490588665015,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,55.55484795570374,6_C_32,6_C_0_1_0_2_0_30_10,15,5,1,
2,6,C,0,1,0,2,0,30,10,0.0395197868347168,0.03951980918645859,0.9824135899543762,0.0,0.0,0.0,48600.0,0.0,870.0,24734,41.40975761413574,6_C_64,6_C_0_1_0_2_0_30_10,11,5,1,
3,6,C,0,1,0,3,0,30,10,0.028653485700488087,0.028653493151068687,0.9559126496315002,0.19722864031791687,0.4908045828342438,427.0,46862.0,1738.0,443.0,24734,58.62696838378906,6_C_8,6_C_0_1_0_3_0_30_10,16,8,1,0.281383855537431
4,6,C,0,1,0,3,0,30,10,0.009731507860124113,0.009731506928801537,0.9983828663825988,0.9157894849777222,1.0,870.0,48520.0,80.0,0.0,24734,44.52831149101257,6_C_32,6_C_0_1_0_3_0_30_10,12,8,1,0.9560439621980402
5,6,C,0,1,0,3,0,30,10,0.0092932665720582,0.009293262846767902,0.9969678521156312,0.8529411554336548,1.0,870.0,48450.0,150.0,0.0,24734,72.54371023178099,6_C_64,6_C_0_1_0_3_0_30_10,19,8,1,0.920634908380602
