,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,6,AD,0,0,0,0,0,30,10,0.075575165450573,0.075575195252895,0.904265224933624,0.023656973615289,0.11034482717514,96,44638,3962,774,24734,81.1328206062317,6_AD_8,6_AD_0_0_0_0_0_30_10,22,10,1,0.038961038578108
1,6,AD,0,0,0,0,0,30,10,0.0205880664289,0.020588068291545,0.981261372566223,0,0,0,48543,57,870,24734,55.3476197719574,6_AD_32,6_AD_0_0_0_0_0_30_10,15,10,1,0
2,6,AD,0,0,0,0,0,30,10,0.024705093353987,0.024705100804567,0.982009291648865,0,0,0,48580,20,870,24734,57.8599083423615,6_AD_64,6_AD_0_0_0_0_0_30_10,15,10,1,0
