,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,6,F,0,1,0,2,0,30,10,0.038139019161463,0.038139019161463,0.982413589954376,0,0,0,48600,0,870,24734,88.6029903888702,6_F_8,6_F_0_1_0_2_0_30_10,24,4,1,0
1,6,F,0,1,0,2,0,30,10,0.042628228664398,0.04262824729085,0.982413589954376,0,0,0,48600,0,870,24734,58.8745818138123,6_F_32,6_F_0_1_0_2_0_30_10,16,4,1,0
2,6,F,0,1,0,2,0,30,10,0.041842892765999,0.041842896491289,0.982413589954376,0,0,0,48600,0,870,24734,72.1839919090271,6_F_64,6_F_0_1_0_2_0_30_10,19,4,1,0
3,6,F,0,1,0,3,0,30,10,0.004142296500504,0.004142296966165,0.999191403388977,0.95604395866394,1,870,48560,40,0,24734,80.9781501293182,6_F_8,6_F_0_1_0_3_0_30_10,22,6,1,0.97752809125717
4,6,F,0,1,0,3,0,30,10,0.007489585317671,0.007489587180316,0.996280550956726,0.825426936149597,1,870,48416,184,0,24734,60.0854153633118,6_F_32,6_F_0_1_0_3_0_30_10,16,6,1,0.904365899070914
5,6,F,0,1,0,3,0,30,10,0.04000049456954,0.040000513195992,0.981807172298431,0,0,0,48570,30,870,24734,64.0291388034821,6_F_64,6_F_0_1_0_3_0_30_10,17,6,1,0
