,A,G,T,AD
A,[1],0.052923229959527286,0.16286517752772967,0.7674526741308423
G,0.052923229959527286,[1],0.6374094083696589,0.07692458954056185
T,0.16286517752772967,0.6374094083696589,[1],0.38965509072114246
AD,0.7674526741308423,0.07692458954056185,0.38965509072114246,[1]
