A,G,AD
0.001034017652273,0.000697609386407,0.000700151431374
0.000516980246175,0.000426227343269,0.000783934316132
0.000715367437806,0.000464755692519,0.000541215005796
0,0.483720929703885,0
0.015717092324818,0,0
0,0,0
0.46271916000591,0.282489517090803,0.463831377576979
0.095523882687668,0.121051183139434,0.013397129194626
0.17230355356017,0.73569091704375,0.554412570773973
0.001339115551673,0.000705707003362,0.000752839143388
0.000854377809446,0.000633140443824,0.000360674137482
0.000519741268363,0.00080658623483,0.000391257432057
0.210152186780115,0.493141224839625,0.038170688189133
0.207691644731262,0.17232605351091,0
0.767487311295734,0.679266174693236,0.765944132712185
