A,G,T,AD
0.000817094172817,0.000599585007876,0.0006359522813,0.000649864959996
0.000451089581475,0.000365599378711,0.000375337287551,0.000364891020581
0.000650996284094,0.000345618755091,0.00035765566281,0.000319324928569
0.73635211764872,0.920148080117583,0.849730803324974,0.339908952123182
0.342519694520048,0.837141492451813,0.598496222234553,0
0.449426194617368,0.623648157994998,0.855971895003214,0.815494402003496
0.343700527147886,0.437491439455381,0.160886872407593,0.204334370213708
0.091765669828787,0.221923097841627,0.256361063984776,0.183052242316551
0.111084300791655,0.345737911818373,0.32200667188138,0.106747534496759
0.611156365834817,0.600290480304295,0.600014506642345,0.712725176829927
0.650029420344399,0.65380282103505,0.68367097628592,0.679657479340362
0.642755533396775,0.674706521394035,0.700526829020888,0
0.419825491215782,0.515905934568192,0.467554923386216,0.357137006570334
0.52639165653396,0.444430305306368,0.485072644062431,0.37529624810784
0.427286003266023,0.419986642241922,0.489526134237214,0.398642580303504
0.000811232021078,0.000577332801186,0.000587076530792,0.000607184832916
0.000335786375217,0.000375131319743,0.000364313978935,0.000290297204629
0.000613618816715,0.000406529667089,0.000351795752067,0.000249080534559
0.567474049645404,0.983725128157937,0.931297688557702,0.983666075089024
0.502040815758039,0.863157910428879,0.970414195373435,0.775343846902046
0,0,0,0
0.277879126944806,0.234044768589401,0.052665382480614,0.240863022251747
0.554144194560177,0.76652760596913,0.037758597247301,0.077032487328913
0.76652760596913,0.76652760596913,0.76652760596913,0.641719812649235
0.597810813763992,0.696382334985965,0.672926549617608,0.723838658572623
0.64534565351911,0.609113261240842,0.555766393657026,0.656783980822996
0,0.300475260682274,0.604495048658409,0.618094851991978
0.407741212026933,0.429308442831088,0.551382346773319,0.388407107277854
0.521190259826487,0.482504550854191,0.403025007111677,0.416585910438571
0.498715893066955,0.402816300380197,0.375115897489365,0.37716987627813
0.000708366627805,0.00057618849678,0.000627058907412,0.000494295440149
0.000316887308145,0.000620097795036,0.000623621803243,0.000313952943543
0.00039328346611,0.000556030427106,0.000535331608262,0.000300807878375
0.794176724210916,0.973698934540459,0.965593781262185,0.972067045951908
0.959735260155533,0.97752809125717,0.97752809125717,0.966666667693191
0.948616602683911,0.975883330458759,0.977272718659917,0.95604396219804
0.000451987114502,0.000389860913856,0.000476668967167,0.000573395809624
0.000386495667044,0.000267281284323,0.000566641800106,0.000580088410061
0.000707691709977,0.000254170008702,0.000249672943028,0.000532761507202
0.056872037966152,0,0.309859158852027,0.868175768245366
0,0.759286771804098,0,0
0.811881190923461,0,0,0.937142853522787
