,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
1,1.0,25.0,C,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.05813026428222656,0.05813026800751686,0.9213696718215942,0.0,0.0,0.0,14530.0,1000.0,240.0,7885.0,20.68606686592102,25_C_32,25_C_0_1_0_1_0_300_10,11.0,5.0,1.0,0.0,Network 1,Min
2,2.0,25.0,C,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.037791907787323,0.037791918963193886,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,39.80529761314392,25_C_64,25_C_0_1_0_1_0_300_10,14.0,5.0,1.0,0.0,Network 1,Min
3,3.0,25.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.04326748475432396,0.04326748102903366,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,33.63526773452759,25_C_8,25_C_0_1_0_2_0_300_10,22.0,5.0,1.0,0.0,Network 1,Min
4,4.0,25.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.03995377942919731,0.03995377570390701,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,37.207697868347175,25_C_32,25_C_0_1_0_2_0_300_10,20.0,5.0,1.0,0.0,Network 1,Min
5,5.0,25.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.035950984805822365,0.035950977355241776,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,67.84901642799377,25_C_64,25_C_0_1_0_2_0_300_10,24.0,5.0,1.0,0.0,Network 1,Min
8,8.0,25.0,C,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.03816741332411766,0.03816742449998856,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,34.09204864501953,25_C_64,25_C_0_1_0_3_0_300_10,12.0,8.0,1.0,0.0,Network 1,Min
6,6.0,25.0,C,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.016277721151709557,0.01627771556377411,1.0,1.0,1.0,240.0,15530.0,0.0,0.0,7885.0,27.06089186668396,25_C_8,25_C_0_1_0_3_0_300_10,18.0,8.0,1.0,1.0,Network 1,Max
0,0.0,25.0,F,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.04663072898983955,0.046630725264549255,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,31.207274913787842,25_F_8,25_F_0_1_0_1_0_300_10,21.0,4.0,1.0,0.0,Network 2,Min
1,1.0,25.0,F,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.03851721063256264,0.03851719573140144,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,44.03434133529663,25_F_32,25_F_0_1_0_1_0_300_10,24.0,4.0,1.0,0.0,Network 2,Min
2,2.0,25.0,F,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.020666491240262985,0.02066649682819844,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,104.14375519752502,25_F_64,25_F_0_1_0_1_0_300_10,37.0,4.0,1.0,0.0,Network 2,Min
3,3.0,25.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.043319042772054665,0.04331902787089348,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,31.240880727767944,25_F_8,25_F_0_1_0_2_0_300_10,21.0,4.0,1.0,0.0,Network 2,Min
4,4.0,25.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.04058849066495896,0.04058849811553955,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,31.435307502746586,25_F_32,25_F_0_1_0_2_0_300_10,17.0,4.0,1.0,0.0,Network 2,Min
5,5.0,25.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.04020015150308609,0.0402001403272152,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,50.29450249671936,25_F_64,25_F_0_1_0_2_0_300_10,18.0,4.0,1.0,0.0,Network 2,Min
6,6.0,25.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.031995359808206565,0.031995363533496864,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,50.72316575050354,25_F_8,25_F_0_1_0_3_0_300_10,34.0,6.0,1.0,0.0,Network 2,Min
8,8.0,25.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.03842296451330185,0.038422975689172745,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885.0,72.76698493957521,25_F_64,25_F_0_1_0_3_0_300_10,26.0,6.0,1.0,0.0,Network 2,Min
7,7.0,25.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.011676667258143423,0.011676668189466,0.998731791973114,0.9230769276618958,1.0,240.0,15510.0,20.0,0.0,7885.0,69.25747609138489,25_F_32,25_F_0_1_0_3_0_300_10,38.0,6.0,1.0,0.9600000024795532,Network 2,Max
