,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,28,F,0,1,0,1,0,300,10,0.14714089035987854,0.14714086055755615,0.7351410984992981,0.811904788017273,0.5724144577980042,12276.0,21070.0,2844.0,9170.0,7558,39.18997550010681,28_F_8,28_F_0_1_0_1_0_300_10,28,4,3,0.6714434411302352
1,28,F,0,1,0,1,0,300,10,0.14591048657894135,0.14591045677661896,0.7706349492073059,0.7434303164482117,0.7862071990966797,16861.0,18095.0,5819.0,4585.0,7558,35.215823173522956,28_F_32,28_F_0_1_0_1_0_300_10,20,4,3,0.7642206220473066
2,28,F,0,1,0,1,0,300,10,0.14737972617149353,0.14737974107265472,0.7564373612403871,0.7644993662834167,0.7006900906562805,15027.0,19285.0,4629.0,6419.0,7558,34.94794631004333,28_F_64,28_F_0_1_0_1_0_300_10,13,4,3,0.7312052755097638
3,28,F,0,1,0,2,0,300,10,0.14810732007026672,0.14810732007026672,0.7351410984992981,0.811904788017273,0.5724144577980042,12276.0,21070.0,2844.0,9170.0,7558,51.80122518539429,28_F_8,28_F_0_1_0_2_0_300_10,37,4,3,0.6714434411302352
4,28,F,0,1,0,2,0,300,10,0.14990685880184176,0.14990690350532532,0.7422398328781128,0.7932299375534058,0.6151729822158813,13193.0,20475.0,3439.0,8253.0,7558,21.3419828414917,28_F_32,28_F_0_1_0_2_0_300_10,12,4,3,0.6929460588559156
5,28,F,0,1,0,2,0,300,10,0.14762765169143674,0.14762765169143674,0.7493386268615723,0.7776675224304199,0.6579315662384033,14110.0,19880.0,4034.0,7336.0,7558,50.94657325744629,28_F_64,28_F_0_1_0_2_0_300_10,19,4,3,0.7128062633695601
6,28,F,0,1,0,3,0,300,10,0.14804460108280182,0.14804458618164062,0.7351410984992981,0.811904788017273,0.5724144577980042,12276.0,21070.0,2844.0,9170.0,7558,29.692371129989624,28_F_8,28_F_0_1_0_3_0_300_10,21,6,3,0.6714434411302352
7,28,F,0,1,0,3,0,300,10,0.1446836292743683,0.1446836292743683,0.7848324775695801,0.7273187041282654,0.8717243075370789,18695.0,16905.0,7009.0,2751.0,7558,50.836570024490356,28_F_32,28_F_0_1_0_3_0_300_10,29,6,3,0.7930010501151783
8,28,F,0,1,0,3,0,300,10,0.146832212805748,0.14683222770690918,0.7564373612403871,0.7644993662834167,0.7006900906562805,15027.0,19285.0,4629.0,6419.0,7558,34.986340045928955,28_F_64,28_F_0_1_0_3_0_300_10,13,6,3,0.7312052755097638
