,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,28,T,0,0,0,0,0,300,10,0.14597192406654358,0.14597193896770475,0.7351410984992981,0.811904788017273,0.5724144577980042,12276.0,21070.0,2844.0,9170.0,7558,34.403026580810554,28_T_8,28_T_0_0_0_0_0_300_10,24,14,3,0.6714434411302352
1,28,T,0,0,0,0,0,300,10,0.16613350808620453,0.16613350808620453,0.7787036895751953,0.8039215803146362,0.7035344839096069,15088.0,20234.0,3680.0,6358.0,7558,81.45863318443298,28_T_32,28_T_0_0_0_0_0_300_10,46,14,3,0.7503854573718691
2,28,T,0,0,0,0,0,300,10,0.14673396944999695,0.14673396944999695,0.7706349492073059,0.7434303164482117,0.7862071990966797,16861.0,18095.0,5819.0,4585.0,7558,29.811877727508545,28_T_64,28_T_0_0_0_0_0_300_10,11,14,3,0.7642206220473066
