,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,19,A,1,4,0.000755455112084746,0.0005169802461750803,30,10,32
1,19,C,1,2,0.0011585208843893338,0.0008202215119834162,30,10,64
2,19,F,2,2,0.00039978450944612703,0.0003855843080802717,30,10,32
3,19,G,2,4,0.0005295307200867684,0.0004262272559572011,30,10,32
4,19,AD,4,4,0.0006751002316984036,0.0005412149475887418,30,10,64
