,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,C,30,10,19_C_64,0.0008202215119834162,0.0011585208843893338,Min
0,C,30,10,19_C_8,0.0017857542390831644,0.0011585208843893338,Max
1,F,30,10,19_F_32,0.0003855843080802717,0.00039978450944612703,Min
0,F,30,10,19_F_8,0.0004108272437911688,0.00039978450944612703,Max
1,A,30,10,19_A_32,0.0005169802461750803,0.000755455112084746,Min
0,A,30,10,19_A_8,0.0010340176522731779,0.000755455112084746,Max
1,G,30,10,19_G_32,0.0004262272559572011,0.0005295307200867683,Min
0,G,30,10,19_G_8,0.0006976092699915171,0.0005295307200867683,Max
2,AD,30,10,19_AD_64,0.0005412149475887418,0.0006751002316984036,Min
1,AD,30,10,19_AD_32,0.0007839343161322174,0.0006751002316984036,Max
