,letter,mean base 8,mean base 32,mean base 64
0,C,0.24066516328587353,0.32033096705611774,0.0
1,F,0.32530120961833503,0.3214285684325706,0.3214285684325706
2,A,0.5674740496454043,0.5020408157580394,0.0
3,G,0.9837251281579372,0.8631579104288791,0.0
4,T,0.9312976885577016,0.9704141953734348,0.0
5,AD,0.9836660750890244,0.7753438469020459,0.0
