,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,C,30,10,21_C_32,0.12191980048663688,0.21384173710780222,Min
2,C,30,10,21_C_64,0.2838070321733577,0.21384173710780222,Max
0,F,30,10,21_F_8,0.260837388991434,0.31772978175028005,Min
1,F,30,10,21_F_32,0.3537662389534633,0.31772978175028005,Max
1,A,30,10,21_A_32,0.09552388268766836,0.24351553208458274,Min
0,A,30,10,21_A_8,0.4627191600059101,0.24351553208458274,Max
1,G,30,10,21_G_32,0.12105118313943435,0.37974387242466245,Min
2,G,30,10,21_G_64,0.7356909170437503,0.37974387242466245,Max
2,T,30,10,21_T_64,0.4200157642282257,0.4894567546914814,Min
1,T,30,10,21_T_32,0.5854245381639718,0.4894567546914814,Max
1,AD,30,10,21_AD_32,0.013397129194626387,0.3438803591818597,Min
2,AD,30,10,21_AD_64,0.5544125707739735,0.3438803591818597,Max
