,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1
0,22,C,0,1,0,1,0,30,10,0.16788335144519806,0.16788330674171448,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,30.04705214500427,22_C_8,22_C_0_1_0_1_0_30_10,25,5,1,0.8869282763980847
1,22,C,0,1,0,1,0,30,10,0.15380243957042694,0.15380239486694336,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,47.341665744781494,22_C_32,22_C_0_1_0_1_0_30_10,39,5,1,0.8869282763980847
2,22,C,0,1,0,1,0,30,10,0.16159653663635254,0.16159658133983612,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,62.025141954422,22_C_64,22_C_0_1_0_1_0_30_10,50,5,1,0.8869282763980847
3,22,C,0,1,0,2,0,30,10,0.16255846619606018,0.16255845129489901,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,36.387198448181145,22_C_8,22_C_0_1_0_2_0_30_10,29,5,1,0.8869282763980847
4,22,C,0,1,0,2,0,30,10,0.16237443685531616,0.16237440705299375,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,30.365992784500122,22_C_32,22_C_0_1_0_2_0_30_10,25,5,1,0.8869282763980847
5,22,C,0,1,0,2,0,30,10,0.1625559777021408,0.162555992603302,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,21.612164974212646,22_C_64,22_C_0_1_0_2_0_30_10,17,5,1,0.8869282763980847
6,22,C,0,1,0,3,0,30,10,0.15379762649536133,0.15379761159420013,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,26.421023607254032,22_C_8,22_C_0_1_0_3_0_30_10,22,8,1,0.8869282763980847
7,22,C,0,1,0,3,0,30,10,0.16249240934848785,0.16249242424964905,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,14.054175615310669,22_C_32,22_C_0_1_0_3_0_30_10,11,8,1,0.8869282763980847
8,22,C,0,1,0,3,0,30,10,0.16245318949222565,0.16245320439338684,0.7968294024467468,0.7968294024467468,1.0,12566.0,0.0,3204.0,0.0,7882,21.559917211532593,22_C_64,22_C_0_1_0_3_0_30_10,17,8,1,0.8869282763980847
