,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
3,3.0,13.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.24328263103961945,0.243282750248909,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,52.032471418380744,13_C_8,13_C_0_1_0_2_0_300_10,12.0,5.0,1.0,0.0,Network 1,Min
4,4.0,13.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.2413642406463623,0.2413641959428787,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,94.04191613197328,13_C_32,13_C_0_1_0_2_0_300_10,18.0,5.0,1.0,0.0,Network 1,Min
5,5.0,13.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.2421962469816208,0.2421962171792984,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,206.9959580898285,13_C_64,13_C_0_1_0_2_0_300_10,25.0,5.0,1.0,0.0,Network 1,Min
0,0.0,13.0,C,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.2312822788953781,0.2312821447849273,0.6714866161346436,0.5115838050842285,0.8448869585990906,13492.0,17900.0,12881.0,2477.0,23373.0,55.50142645835877,13_C_8,13_C_0_1_0_1_0_300_10,13.0,5.0,1.0,0.6372868427661477,Network 1,Max
2,2.0,13.0,F,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.24353066086769104,0.2435304373502732,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,190.08872032165527,13_F_64,13_F_0_1_0_1_0_300_10,23.0,4.0,1.0,0.0,Network 2,Min
3,3.0,13.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.2413936406373977,0.2413937151432037,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,47.3124897480011,13_F_8,13_F_0_1_0_2_0_300_10,11.0,4.0,1.0,0.0,Network 2,Min
4,4.0,13.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.2408469468355179,0.2408469021320343,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,57.44529676437378,13_F_32,13_F_0_1_0_2_0_300_10,11.0,4.0,1.0,0.0,Network 2,Min
5,5.0,13.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.2389678657054901,0.2389679104089737,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,99.44787740707396,13_F_64,13_F_0_1_0_2_0_300_10,12.0,4.0,1.0,0.0,Network 2,Min
7,7.0,13.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.2417652606964112,0.24176524579524994,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,73.07654929161072,13_F_32,13_F_0_1_0_3_0_300_10,14.0,6.0,1.0,0.0,Network 2,Min
8,8.0,13.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.24328187108039856,0.2432818561792373,0.6584171056747437,0.0,0.0,0.0,30781.0,0.0,15969.0,23373.0,141.16046786308286,13_F_64,13_F_0_1_0_3_0_300_10,17.0,6.0,1.0,0.0,Network 2,Min
0,0.0,13.0,F,0.0,1.0,0.0,1.0,0.0,300.0,10.0,0.19528675079345706,0.19528678059577945,0.7305454611778259,0.5738955140113831,0.8199636936187744,13094.0,21059.0,9722.0,2875.0,23373.0,52.75141358375549,13_F_8,13_F_0_1_0_1_0_300_10,12.0,4.0,1.0,0.6752094943937542,Network 2,Max
