,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
1,1,26,A,0,0,0,0,0,300,10,0.2526068389415741,0.2526068091392517,0.41604313254356384,0.6694398522377014,0.12291242182254793,1207.0,5354.0,596.0,8613.0,7885,21.550540924072266,26_A_32,26_A_0_0_0_0_0_300_10,11,18,1,0.20769164473126225,Network 1,Min
2,2,26,A,0,0,0,0,0,300,10,0.2493263930082321,0.2493263632059097,0.6227013468742371,0.6227013468742371,1.0,9820.0,0.0,5950.0,0.0,7885,82.92833733558655,26_A_64,26_A_0_0_0_0_0_300_10,29,18,1,0.7674873112957338,Network 1,Max
1,1,26,G,0,0,0,0,0,300,10,0.25130537152290344,0.2513054311275482,0.4018389284610748,0.6227013468742371,0.10000000149011612,982.0,5355.0,595.0,8838.0,7885,30.066909551620483,26_G_32,26_G_0_0_0_0_0_300_10,16,14,1,0.1723260535109096,Network 2,Min
2,2,26,G,0,0,0,0,0,300,10,0.2427053302526474,0.2427053451538086,0.5221940279006958,0.5835588574409485,0.8125254511833191,7979.0,256.0,5694.0,1841.0,7885,31.324503898620605,26_G_64,26_G_0_0_0_0_0_300_10,11,14,1,0.6792661746932362,Network 2,Max
1,1,26,T,0,0,0,0,0,300,10,0.2518574893474579,0.2518574893474579,0.4018389284610748,0.6227013468742371,0.10000000149011612,982.0,5355.0,595.0,8838.0,7885,22.47980546951294,26_T_32,26_T_0_0_0_0_0_300_10,12,14,1,0.1723260535109096,Network 3,Min
2,2,26,T,0,0,0,0,0,300,10,0.2526347935199737,0.2526348531246185,0.4018389284610748,0.6227013468742371,0.10000000149011612,982.0,5355.0,595.0,8838.0,7885,33.96488809585571,26_T_64,26_T_0_0_0_0_0_300_10,12,14,1,0.1723260535109096,Network 3,Min
0,0,26,T,0,0,0,0,0,300,10,0.24197480082511905,0.24197477102279666,0.4882054626941681,1.0,0.1781059056520462,1749.0,5950.0,0.0,8071.0,7885,18.19757699966431,26_T_8,26_T_0_0_0_0_0_300_10,12,14,1,0.302359753563021,Network 3,Max
1,1,26,AD,0,0,0,0,0,300,10,0.25049614906311035,0.25049617886543274,0.3772986829280853,0.0,0.0,0.0,5950.0,0.0,9820.0,7885,29.784335374832157,26_AD_32,26_AD_0_0_0_0_0_300_10,16,13,1,0.0,Network 4,Min
2,2,26,AD,0,0,0,0,0,300,10,0.2496389299631119,0.2496388852596283,0.6206721663475037,0.621934175491333,0.9967413544654846,9788.0,0.0,5950.0,32.0,7885,63.02108240127564,26_AD_64,26_AD_0_0_0_0_0_300_10,22,13,1,0.7659441327121852,Network 4,Max
